Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
08:43:07 Jan 14 2025,91,57,0,0,0
08:43:11 Jan 14 2025,91,57,0,0,0
08:43:15 Jan 14 2025,90,58,0,0,0
08:43:19 Jan 14 2025,92,58,0,0,0
08:43:23 Jan 14 2025,94,55,0,0,0
08:43:27 Jan 14 2025,96,53,0,0,0
08:43:31 Jan 14 2025,97,53,0,0,0
08:43:35 Jan 14 2025,97,53,0,0,0
08:43:39 Jan 14 2025,95,54,0,0,0
08:43:43 Jan 14 2025,95,54,0,0,0
08:43:47 Jan 14 2025,95,55,19,0,0
08:43:51 Jan 14 2025,96,56,0,0,0
08:43:55 Jan 14 2025,97,56,0,0,0
08:43:59 Jan 14 2025,97,55,0,0,0
08:44:03 Jan 14 2025,97,50,0,0,0
08:44:07 Jan 14 2025,97,48,0,0,0
08:44:11 Jan 14 2025,96,52,0,0,0
08:44:15 Jan 14 2025,94,55,0,0,0
08:44:19 Jan 14 2025,93,55,0,0,0
08:44:23 Jan 14 2025,94,53,0,0,0
08:44:27 Jan 14 2025,94,54,0,0,0
08:44:31 Jan 14 2025,92,55,4,0,0
08:44:35 Jan 14 2025,89,56,0,0,0
08:44:39 Jan 14 2025,90,57,0,0,0
08:44:43 Jan 14 2025,91,56,0,0,0
08:44:47 Jan 14 2025,93,54,0,0,0
08:44:51 Jan 14 2025,95,53,0,0,0
08:44:55 Jan 14 2025,96,52,0,0,0
08:44:59 Jan 14 2025,94,52,0,0,0
08:45:03 Jan 14 2025,93,53,0,0,0
08:45:07 Jan 14 2025,92,54,10,0,0
08:45:11 Jan 14 2025,94,56,0,0,0
08:45:15 Jan 14 2025,96,56,0,0,0
08:45:19 Jan 14 2025,95,55,0,0,0
08:45:23 Jan 14 2025,95,54,0,0,0
08:45:27 Jan 14 2025,95,54,0,0,0
08:45:31 Jan 14 2025,95,54,0,0,0
08:45:35 Jan 14 2025,95,53,0,0,0
08:45:39 Jan 14 2025,95,53,0,0,0
08:45:43 Jan 14 2025,94,54,0,0,0
08:45:47 Jan 14 2025,91,54,0,0,0
08:45:51 Jan 14 2025,89,55,0,0,0
08:45:55 Jan 14 2025,89,55,0,0,0
08:45:59 Jan 14 2025,93,54,0,0,0
08:46:03 Jan 14 2025,95,53,0,0,0
08:46:07 Jan 14 2025,96,54,0,0,0
08:46:11 Jan 14 2025,96,54,0,0,0
08:46:15 Jan 14 2025,95,53,0,0,0
08:46:19 Jan 14 2025,93,53,0,0,0
08:46:23 Jan 14 2025,92,53,0,0,0
08:46:27 Jan 14 2025,92,54,0,0,0
08:46:31 Jan 14 2025,92,54,0,0,0
08:46:35 Jan 14 2025,91,54,0,0,0
08:46:39 Jan 14 2025,90,54,0,0,0
08:46:43 Jan 14 2025,91,54,0,0,0
08:46:47 Jan 14 2025,92,53,0,0,0
08:46:51 Jan 14 2025,93,53,0,0,0
08:46:55 Jan 14 2025,93,54,0,0,0
